"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07"
15301,Washington,PA,Pittsburgh,Washington,103600,99900,97800,98100,97900,97100,95100,93500,92100,90700,89900,91300,93900,94900,94500,94000,93400,91900,91300,92900,95300,97600,98800,97900,96700,96300,95400,93400,92000,91600,91500,91900,92300,91600,91100,91500,92100,92500,92900,92200,93000,95100,96900,97400,97600,98200,98900,99400,100300,102300,104100,105100,105400,105400,105700,106500,106700,106600,108100,109900,111400,112500,113200,114000,114400,115100,117500,118400,115900,113500,112600,112600,112000,109800,109800,112800,116700,118900,119700,121100,125100,129000,130200,130800,133100,136000,136800,136200,135300,134600,134100,134700,135900,137400,138300,139100,139900,141200,143000,144600,145900,146400,144200,140000,136600,135900,136600,136700,135900,136300,137000,136800,136300,136500,138000,141000,143900,144300,143000,141700,141100,141000,141000,140800,141300,143000,145000,146400,148800,150400,149400,146900,145700,145500,147800,150200,149900,148400,148400,148400,145900,143100,143700,146700,148400,147500,147500,149100,150000,150600,152700,153900,155000,157500,160700,163000,166000,169600,168100,163000,162000,164000,163400,163000,164700,168000,171100,173400,174100,173900,173800,175300,176900,177100,175200,172700,170900,170900,172000,172300,169500,165900,164400,165300,165800,165000,163900,163600,163400,162600,160700,159200,157700,155300,153200,153300,153000,152300,152700,154300,154700,154900,155700,155900,156700,160000,164400,166700,167300,166700,166500,167300,166600,163800,160500,160000,163700,168300,168400,166000,165500,167700,172000,176500,180000,181400,181500,181900,184400,187200,189600,191300
15237,Ross Township,PA,Pittsburgh,Allegheny,168500,167800,167200,166600,166000,165400,165500,165700,165500,165300,165900,166600,166500,165900,165500,165800,166800,167300,167100,167700,169000,169300,169000,169300,170000,170200,170200,170400,170500,171000,171500,172300,173400,174500,174800,175300,175700,175000,173700,173000,173000,174100,175600,176700,177700,178800,179100,179700,181300,183000,184200,184700,185000,185300,185800,185500,185400,185900,186800,187400,188000,189000,190600,192400,193900,195300,196200,197500,199200,201100,202600,203900,205800,207900,208500,207900,207600,207700,208200,208900,209300,209200,209700,210500,211300,212900,214800,215700,216000,217500,218900,218900,218700,219000,219400,219400,219300,219700,221800,224500,225500,224900,225400,226900,227700,227700,228900,229900,230000,229600,229400,230500,233700,236400,237600,239500,242100,244000,244600,245500,245500,244200,243200,242900,241600,240400,239900,238900,237700,236600,236600,236800,238000,240600,242700,242700,241700,240700,239400,238100,237700,238700,239300,238600,237200,235700,234900,235100,236900,239400,241200,241400,241500,241000,239900,239200,240500,242700,244200,245700,246300,245100,244100,244900,245800,246600,247600,249500,251000,251300,251400,252000,253100,254000,255100,255900,256300,256800,258000,259200,261000,262900,264300,265400,266000,267300,270000,273000,274400,273700,272400,271600,271200,270300,269700,267800,264900,262400,260200,258500,257300,257100,259300,261900,261700,260100,258700,259000,260700,264600,268000,271800,277900,284700,286700,287200,290200,295800,301000,303100,304700,306900,308800,308300,307300,307700,311000,313800,313900,311200,308400,306400
15108,Moon Township,PA,Pittsburgh,Allegheny,143300,144100,144200,144400,144500,144000,143500,143400,143500,143400,143500,144000,143900,143100,143000,143400,143500,144100,145100,145700,145900,146400,147500,148300,149000,149400,149300,149600,150400,150500,150100,149700,149800,150000,150000,150000,150200,150300,150300,150700,151000,151600,152500,153500,153600,153700,154200,154600,154800,155100,155000,155200,156000,156900,157500,158800,160100,161000,161800,161900,161500,161500,162400,163400,164100,164800,165600,166800,168300,169000,169900,171700,173400,173700,173900,175000,176800,177500,176800,176300,176400,177100,177900,178100,177900,179100,180200,179700,179200,180800,182200,182500,183200,184200,183600,183600,185400,187300,189400,191100,191200,190100,190200,189900,188900,188300,190100,192100,192700,192900,193400,194000,194500,195300,196400,196900,197600,198800,199400,199900,200800,201200,200700,199900,200200,201300,202000,203500,204900,205200,204700,204600,205100,206300,207000,206100,203800,201800,201500,202400,203200,202800,201800,201200,201100,201300,201300,201600,203100,205100,206700,208100,209900,212200,214100,214700,214600,214100,213800,214800,216800,217100,215900,214900,213600,211600,210900,210000,207900,205400,205800,208100,209900,209700,209000,207800,207300,207900,209500,211900,213700,215000,215100,214900,215400,215900,215500,215000,214600,215000,214800,212900,212500,214100,215700,216900,217000,216200,214800,212100,209500,208600,209100,212800,216200,216200,214800,215600,216400,218000,221100,226600,231800,234400,235000,234000,233900,235600,238100,237600,236900,238900,242900,245000,245200,246000,247000,247800,248500,249800,250400,250400
15235,Penn Hills,PA,Pittsburgh,Allegheny,99100,100000,100700,101100,101700,102500,103300,104000,104300,104900,106000,107100,107200,107000,106400,105100,103900,103200,102600,101900,101600,101700,102000,101400,100700,100000,99900,100900,102700,103500,103700,104400,105700,106300,106500,107300,107900,108200,108700,108200,107500,107700,108100,108700,109700,110400,110800,111800,113200,114300,115100,116000,116400,116200,115900,116500,117200,117700,117200,116400,116300,116700,117100,117600,118500,118600,118100,117200,116900,116900,117100,118000,120100,121800,122400,122900,123500,123700,124300,124900,125000,125000,126100,126900,127200,127500,128300,128800,129400,130800,133000,134900,136500,137400,137400,136800,135900,134700,134500,135800,136800,137000,136600,136700,137000,137900,139400,140500,141000,142000,143400,143800,143600,143400,142700,141300,140800,141300,141900,143000,144200,143900,142600,141800,141900,143100,144400,144500,143400,142100,141100,140400,139800,140000,141000,141500,141500,142700,144200,145600,146000,146800,147800,148500,149100,149700,149400,149200,149400,147800,146500,147500,149200,148700,146900,145200,143800,143400,143600,143100,141500,140300,139200,138100,136600,135500,135500,136400,137800,138600,138600,138300,138400,138200,138800,139900,140900,141400,142200,142800,142500,141900,142000,141400,141200,141700,141700,140200,139500,139900,139700,138700,138400,138000,136700,135300,135000,134800,134700,134200,133700,133800,135000,135200,134000,133500,134900,137300,139700,141800,142700,143000,144000,144600,143800,143200,143200,142500,141700,142200,142900,143100,142900,143100,143900,144700,144700,145000,146300,147400,147900,148600
15317,North Strabane Township,PA,Pittsburgh,Washington,184000,182900,181600,178900,177600,177900,178300,179300,180500,180600,179600,180400,182200,183400,183500,183900,184100,184600,185100,185400,185300,185800,187000,188200,186900,184900,184600,184600,183500,184000,185800,186500,185500,184000,183900,186300,190000,191800,192000,192200,193200,194700,196700,197800,198700,199500,201400,203100,204500,205500,206800,207100,207900,210100,212900,214200,213600,213000,213700,215500,216400,216200,217100,220600,223300,222600,220300,218200,218700,220000,220500,220400,222200,225200,229800,234000,237500,238400,237800,239300,245800,252200,253800,253100,253800,255900,256300,255800,255700,257900,259200,259500,257600,255500,254600,255800,255900,255600,256000,256300,256400,256800,258900,262000,265000,267000,269000,270400,271700,271700,271300,270700,269200,267200,267400,269200,270300,269800,268300,266800,266100,267200,268600,270900,273700,276100,277100,277800,277500,278500,282300,287300,290000,289300,286300,283300,281900,281300,280100,277500,273000,267900,263900,262700,263900,267100,270100,271700,272100,273400,276100,277400,279700,284700,290000,292000,293200,295200,297900,301200,305000,307800,308600,309500,311900,314500,315600,314800,313700,311300,309000,307900,308100,308300,309000,310400,312800,313800,314200,314000,311600,308900,309100,310100,308700,307000,306900,307800,307800,308400,308900,308400,306800,305700,304100,302200,301100,300600,299600,298900,299200,299100,299400,300700,304000,307600,310100,313200,318100,323000,325800,328500,330500,331600,331600,335600,341800,345300,344900,345100,346900,348800,348000,345100,342000,340400,339000,335500,332600,333800,337900,341400
15221,Wilkinsburg,PA,Pittsburgh,Allegheny,55000,52800,51100,49300,47500,46400,45900,45600,44600,43400,42800,42400,42300,42800,43500,43600,43700,44000,44500,45200,46100,47000,47500,48300,49000,49500,49700,50000,49800,49700,49700,49500,49900,50900,51400,51200,51200,51200,51300,51400,51800,52200,52200,52300,53000,53100,52600,52900,53700,54100,54400,55200,56700,57500,57300,56900,56900,56600,56600,56700,56500,56500,57000,57300,57000,57000,57600,58700,59700,60200,60800,61400,62100,62600,62900,62900,62400,62300,62800,62300,60900,60400,60700,60900,61000,61100,61300,62400,63700,65200,66100,66500,66900,67800,67900,67700,68100,68500,68300,68000,67700,67500,67500,68000,68600,68800,68700,69200,70000,70300,69400,68400,68200,68000,67700,68200,69500,70400,70800,70300,69700,69400,69800,71400,73500,74300,74200,73700,73300,73100,73300,74100,74800,76100,77900,78200,76900,76200,76200,75300,74300,73900,74100,73900,73600,73200,72800,72600,72800,73100,73800,75500,77300,77800,77600,77300,77100,77000,77500,78000,77900,77900,78600,79500,79600,80500,82200,83500,84100,85300,86500,86600,86300,86800,87700,87300,86200,85400,86000,87000,87600,87900,87900,86900,85900,85900,86200,86500,86600,87100,86300,85500,86500,88300,91300,95500,98400,99100,99300,98900,99200,99100,97000,95400,96300,98500,101300,103700,104000,102200,102300,104500,106300,106300,105800,103700,99300,93400,87200,83600,84100,86000,85300,84000,84000,84500,87400,92900,96200,95300,92400,89500
15206,Pittsburgh,PA,Pittsburgh,Allegheny,80800,78900,77000,75100,73900,73600,73500,73000,72800,72700,72600,72200,72400,73100,74400,75200,74800,74200,74100,73700,73100,73000,73200,73700,74200,73900,73500,74200,75600,76300,76400,77200,78200,78700,78800,78600,78400,78400,78800,79200,79600,80000,80600,81100,81400,81700,82100,82800,83200,83300,83600,83700,84200,85400,86300,87100,88100,89000,89300,89600,90100,91100,92000,92200,91400,90500,89900,89600,89900,90400,91000,92000,93400,94700,95400,95900,96100,96300,96500,96200,94300,92800,91700,91600,92100,93200,93900,94900,96000,97100,98600,101200,105000,107900,109500,109700,110100,110900,112500,113100,113800,114400,114700,113400,111400,110500,111300,111500,109600,107400,106200,106900,108900,110600,112200,115700,118900,120600,122100,125400,129300,133200,134800,133500,130100,128100,127400,126500,125400,125200,124600,123600,122000,121300,121500,122600,125300,128500,130100,131300,133900,135400,136200,136700,138000,137500,138200,140300,142700,143100,142500,140800,140400,141700,143200,144800,147700,149800,150100,151400,154000,155000,155000,155800,156000,155000,154100,153200,152600,152500,152600,152200,151900,152300,154400,156800,158500,160400,164100,167900,171000,174200,176500,176800,175300,174700,175900,176100,175900,177400,177800,176700,176500,177500,180000,182900,183800,182400,180500,179500,178000,177200,177100,176900,175700,177000,180200,182600,182300,183000,183000,183400,184600,186400,188800,193100,194400,195400,198300,201100,201100,204400,211900,218900,221800,223200,224300,225400,227800,228100,224400,220000
15401,Uniontown,PA,Pittsburgh,Fayette,80100,76500,74700,74800,73700,71500,70900,70800,70600,69900,69900,69700,69900,70300,71100,71300,71600,71300,71100,71500,72600,73300,74100,75300,76500,77800,79800,82900,85800,87000,86700,86200,86300,86600,86200,84900,84000,84500,85300,84500,84400,84900,85500,86200,86700,87200,88700,90700,92100,92300,91500,90600,89700,89600,89600,88500,87800,88100,88600,89600,90300,90100,89500,89100,88500,87300,85800,85800,85900,85400,85100,86200,87500,88300,88600,89800,92300,96000,100300,103700,105400,106900,107400,107900,109100,109100,106200,104600,105500,105800,105000,105300,107000,108400,108500,108600,109300,112200,115600,116900,116300,116700,116600,114700,113000,111800,110300,107700,105500,105300,107900,109200,108000,107600,109500,111600,112800,113900,115500,116400,116500,115400,113700,112900,113200,112600,111400,111300,111900,111800,111000,111000,111900,113000,115400,117900,120200,121400,123400,124500,123800,123200,124200,124900,125100,125300,125200,124600,125000,125300,124800,123900,124000,125200,126700,128200,129300,130400,130700,132000,132800,133100,132500,132300,132900,134000,135100,135200,134000,132500,130700,129000,127400,126800,126600,126800,126600,126800,127600,128400,129200,130100,129900,129700,130600,131300,131200,131000,131200,131600,132500,133200,132300,131400,132400,134000,134400,134700,133400,132600,133300,133100,132100,132900,135000,134800,135100,135500,135200,134800,136800,139300,140700,141300,143200,144100,144300,145700,145900,143300,141600,141000,140600,140000,138300,134400,128000,124000,122800,120800,118500,118200
15212,Pittsburgh,PA,Pittsburgh,Allegheny,63000,62300,61200,59900,59400,58900,58100,57500,57300,57100,57000,56500,56000,56400,57200,57900,58500,59000,59100,59300,59800,60500,61100,61500,61600,61600,61700,61900,61500,61200,61800,62200,62100,62600,63200,63400,63400,63400,63700,64100,64600,65300,65300,65300,65600,66200,66500,66600,67000,67500,67700,68000,68700,69400,69400,69400,69800,69600,69100,69400,70700,71100,70400,70200,70400,70900,71500,72300,72800,73400,74300,75400,75400,75200,75700,76300,76000,75300,75400,75500,75600,75700,75400,75000,74700,74700,75600,77200,78000,78500,78600,78100,77700,77700,77300,77600,79300,81000,81800,81900,82100,82300,83400,85100,86100,85900,87300,88600,88700,88700,89600,90600,91500,91900,92000,92300,93400,94100,93800,92600,92300,92400,92000,91000,91000,91900,92600,92900,93300,94500,95400,94900,93900,94000,94000,94100,94200,94300,93700,93800,94600,95800,96200,97100,98400,98800,98900,99400,100000,101300,103400,104700,104200,103600,104400,105500,105200,105400,106400,107400,107000,105500,104500,104900,105900,107200,108900,112600,116600,118500,117900,117100,117200,117600,118000,117600,116700,114600,112600,111900,112400,113200,113500,113200,113800,114900,115000,114100,114000,114700,115300,115200,115600,116600,118300,120000,121600,123200,124100,123700,122200,120200,119600,119800,120300,120500,122400,124300,124600,124800,127600,131000,134600,137200,138200,135600,129400,124600,123700,124800,126100,125700,123800,122400,122000,122600,123500,124500,126500,127300,125700,123600
15236,Baldwin Township,PA,Pittsburgh,Allegheny,130400,130600,131100,132400,133300,133700,133800,133800,133800,133500,134000,135100,135800,136400,136900,135900,135100,135500,137000,138500,139700,140900,142100,143500,144400,144300,143500,142700,141500,141000,141300,141400,141300,141900,142600,142700,142800,142800,142500,142200,142500,142800,142800,143200,143500,143500,143700,143800,143900,145100,145500,145500,146300,147500,148200,149300,151300,152500,153100,153400,153500,153000,153400,154700,155900,156100,155800,155800,156800,157800,158400,159600,161400,162200,162900,164400,165600,166900,168100,168100,168500,169900,170700,171400,171600,172400,174400,176400,177400,178300,179000,178800,178200,177600,177700,177900,178700,179800,180800,180700,180600,179700,179800,181100,181100,180700,180900,180600,180700,181600,180900,179500,178900,179600,180100,180700,181100,181300,182000,183900,184700,183900,184000,184900,185000,185100,185900,186700,187600,187800,186900,186000,185800,185300,185000,184300,183400,182100,181200,180200,179400,179600,180000,179800,179500,180500,182400,185900,189200,191200,190700,189100,187200,186200,185700,185700,185800,185900,185700,185000,184900,185300,185900,187300,188900,189200,189400,190800,192800,193500,193700,194100,194400,194000,193800,193100,192400,191700,190300,187900,185800,184400,183000,182000,183000,184500,185900,188700,191900,194000,195000,195500,195500,195300,194200,191800,188300,186700,186700,187200,189100,194100,199000,200700,200300,199600,199800,200300,201200,201500,202200,204000,204200,202100,201200,202900,206100,209800,212500,214800,217600,219800,221000,220100,218600,219600,221900,223000,224100,226700,228400,229100
