"RegionName","City","State","Metro","CountyName","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07"
15601,Greensburg,PA,Pittsburgh,Westmoreland,85200,84700,83900,83400,83100,82900,82900,82700,82400,82300,82100,82000,81500,81200,81400,81900,82300,82800,83300,83800,84400,84900,85600,86200,86800,87100,87000,86900,86800,86700,87000,87200,87200,87500,87900,88200,88100,88000,88100,88500,89000,89200,89000,89200,89600,89900,90200,90400,90600,91100,91500,91400,91300,91500,92100,92600,92800,92800,92900,93200,93900,95600,97400,98200,98600,98800,98400,98100,98200,98300,98500,98800,98800,98600,98700,99300,100000,100400,100900,101500,102200,103000,103800,104700,106100,107000,107400,108100,108900,109900,111100,112200,112900,113400,113400,113100,112700,112400,112300,112200,112200,112800,113500,114000,114500,115200,116100,116900,117500,117900,118100,118300,118800,119100,119000,119300,119700,120300,120900,121500,121800,122200,122800,123600,124100,124400,124800,124500,123600,122700,122400,123000,123900,124900,125700,125900,125400,124700,124200,124400,124800,124400,123500,122400,121300,120000,119400,119600,120200,120400,120900,121300,121700,123000,124400,124400,124400,124400,124000,123400,123600,124100,124000,123500,123500,123500,123400,123800,124400,124800,124700,124400,124300,124300,124100,124000,124100,124100,124500,125200,125200,124900,124900,124700,124400,124600,125100,125600,125700,125600,125100,124800,124700,124600,124700,125000,125100,124900,124700,124700,124900,125200,125300,125300,125700,126400,127100,128000,129200,130100,131000,131900,132600,132900,133100,133100,133200,133700,134300,134700,134200,133400,132800,132500,132100,132000,132200,132400,132400,132700,132900,132900
15301,Washington,PA,Pittsburgh,Washington,74700,73900,73200,72800,72500,72700,73000,72800,72100,71700,71500,71700,71900,72300,72700,73400,73900,73900,73800,74600,75900,76700,77300,77800,78300,78600,78100,77100,76500,76600,76800,77100,77600,77700,77900,78200,78500,79100,80000,80700,81300,81800,82000,81800,81200,80600,81000,81700,82000,81800,81800,81800,81800,81600,81800,81900,82100,82800,83500,84000,84400,84600,84700,85100,85800,86800,87800,88300,88400,88500,88700,89000,89200,89000,89500,91000,91800,91100,90800,91800,94000,95600,95700,95300,95700,96600,96500,95600,95100,95400,95500,94800,94000,93800,93700,93800,94400,95300,96300,97500,99200,100800,102100,102900,103400,104100,104900,105800,106300,107400,108600,109700,110300,110700,111300,112500,113500,114400,115500,116500,117000,117500,117900,117400,116700,116600,116600,116700,117400,118100,118300,117700,116900,116400,116100,115800,115600,115600,115500,115300,114200,112300,111500,112300,113400,113800,113900,114200,114600,114800,114800,114700,115100,116000,116400,116200,116000,115700,115200,115500,116300,117200,117700,118300,118900,119800,120600,121500,122400,122900,123200,123600,123300,122600,122000,121400,120800,120300,120000,119500,118500,117700,117400,117500,117600,117700,118100,118400,118600,118800,119100,119600,120100,120800,121800,122400,122400,122400,122800,123000,123200,123500,123800,123900,124300,125000,125700,126100,126700,127100,127600,128100,128900,129700,130100,130400,131300,132300,133000,133500,134200,135000,135700,136800,137600,137900,138200,138600,138500,138500,138500,138300
15642,North Huntingdon,PA,Pittsburgh,Westmoreland,86400,86800,86800,87000,86900,86800,86900,87100,86700,86400,86300,86400,85900,85600,85600,85600,86000,86600,86900,87200,87800,88300,88900,89600,90200,90500,90800,91000,91200,91100,91200,91400,91600,91900,92000,91900,91800,91800,92000,92400,92900,93200,93400,93800,94400,95300,96200,97100,97700,97900,97400,96700,96300,96300,96500,96900,97200,97300,97500,97600,98300,100200,102200,102900,103200,103600,103600,103500,103300,103500,104300,104900,105000,105200,105800,106900,108100,108700,109000,109700,110600,111200,111800,112800,113900,114600,115300,116200,117500,119400,121600,123100,124100,124300,123600,122800,122600,122300,122100,122000,121800,121900,122100,122300,123300,124900,126400,127500,128400,129100,129900,130800,131300,131100,130700,130400,130100,130100,130600,131100,131400,131500,131600,131700,131800,132300,132900,132800,132300,132200,132300,132200,132600,133300,133400,133100,132700,131900,131500,131600,131700,131300,130900,130500,129500,128300,127500,127400,127200,127000,127100,127200,127300,127300,127200,127300,127300,126900,126600,126600,127000,127600,128200,128500,128900,129000,128800,128700,129100,129700,130100,130500,131100,131100,130500,130000,130000,130400,131100,131600,132200,132900,133300,133000,132800,133000,133500,134500,135300,135400,135200,135500,136000,136300,136400,136400,136500,136400,135800,135000,134200,133800,133900,134200,134100,133900,134400,135200,135600,136200,137300,138500,139700,140600,141100,141200,141000,141200,141700,141800,142000,142100,142000,141700,141300,141200,141000,140600,140400,140600,140600,140500
15237,Ross Township,PA,Pittsburgh,Allegheny,119100,120100,120800,121100,121300,121400,121600,122000,122300,122800,123000,123000,122800,122300,121500,121000,121200,121600,122100,122800,123600,124600,125900,126600,126900,127000,127000,126600,126300,126300,126200,126100,126100,126300,126400,126500,126500,126600,126900,127200,127400,127700,127900,127900,128200,128800,129700,130400,131000,131700,132700,133700,134500,135300,136200,137100,137700,138400,138800,139200,139700,140000,140100,140400,140900,141400,141700,142200,143100,143600,144000,144600,145200,145900,147000,148000,149000,149700,150400,151200,151700,152100,152700,153500,154400,155100,155400,155600,155900,156700,157500,158100,158500,159000,159400,159800,160300,161000,161400,161700,161800,161600,161500,161100,160700,160800,161300,161400,161600,162200,163100,164100,164800,165200,165900,167000,168300,169200,169800,170200,170100,169400,168600,168000,167800,168200,168500,168600,168200,167600,167500,167800,167900,168400,169400,170300,170800,170800,170700,170700,171100,171400,171400,171400,171500,171500,171900,172700,173500,174100,174800,175200,175400,175300,175400,175800,176400,176700,176700,176500,176400,176700,177100,177600,178000,178500,178800,179300,179800,180500,181000,181000,180800,180500,180000,179200,178800,179100,179900,180800,182300,184200,185500,186700,188200,189100,189200,189400,189500,189000,188100,187100,186000,184300,182800,182000,182000,182200,183000,183800,184500,185500,186800,187700,188100,188500,189100,190300,191400,193000,194900,197400,200300,202900,204500,205600,207100,209600,212000,213100,213800,214000,213700,213400,213700,214600,215800,216900,217700,218200,218200,218100
16001,Butler Township,PA,Pittsburgh,Butler,,,,,,,,,,,,,,,,,,,,,,,86800,88700,91800,94800,95600,95300,93900,90700,90400,94800,99200,99100,98100,96400,94300,92400,90900,89900,89400,89400,90000,90100,89900,90100,90900,92700,94400,95300,95900,96900,98000,99200,100300,100900,100600,100400,100500,101300,102200,103400,104800,105700,105900,106600,107000,107000,106900,108700,110700,110300,108500,107700,107400,107800,108400,108700,109100,109800,110000,109800,111000,112900,112300,110200,109600,110100,111100,111500,111800,112500,114100,115300,115600,115900,117200,118700,119400,119300,119200,120800,122100,121300,119200,118000,117700,117900,118000,119500,122000,123900,124900,125200,124900,125000,125700,125900,125100,124500,124900,124800,123300,121900,121600,122000,122700,123100,123200,123000,123300,124300,125700,126300,126600,127100,127700,127900,127900,127800,127900,128200,128100,127500,126800,126300,125900,125700,124700,123700,123500,123300,123300,123800,124200,123900,123400,123000,122900,122900,122900,122800,122900,123600,124400,124900,125300,125900,126300,126700,127300,127700,128000,128000,127700,127600,127600,127500,127700,128500,128900,128900,129300,129600,129600,129500,129400,129300,129300,129100,129100,128800,128300,128200,128300,128000,127100,126300,126300,126600,126800,126700,126600,126700,127500,129100,130700,131700,132700,133700,134400,135400,136400,137500,138500,139800,140900,141700,142700,144500,145600,146000,146400,146800,147000,147300,147500,147000,146300,145300,143300,141100
15108,Moon Township,PA,Pittsburgh,Allegheny,104500,105900,107000,107800,108000,107800,107800,108000,108200,108600,108900,108900,108600,108400,107900,107300,107100,107100,107400,108300,109400,110600,112000,113000,113200,113500,113900,114100,113800,113700,113500,113200,113100,113000,113200,113100,112600,112200,112100,112400,112800,113300,113600,113900,114500,115300,115800,115900,116300,116800,117200,117500,118200,119200,120300,121000,121400,121600,121900,122200,122600,123000,123400,123700,123900,124100,124400,124900,125200,125500,126200,127100,127900,128500,128800,129200,129500,129300,129300,129700,130200,130600,131000,131600,132100,132600,133200,133500,133600,133700,133800,133500,133200,133100,132900,132900,133100,133100,133800,135200,136700,137700,138300,138400,138600,139300,140200,140800,141200,141700,141800,142000,142500,143500,144900,146700,148500,149700,150600,151300,151600,151500,151200,150700,150000,149900,149900,149700,149400,149300,149200,149500,150000,150800,151700,152500,153000,153200,153200,153200,153300,153000,152100,151300,151200,151500,151900,152100,152500,152800,153100,153300,153300,153600,154200,154300,154000,153900,154100,154300,153900,153100,152800,153000,152900,152600,152700,153300,154300,155000,155200,155100,155500,156200,156400,156300,156700,157200,157700,157900,157700,157300,157300,157800,158400,159000,159500,159700,159700,159500,159100,158800,158600,158100,158100,158200,158300,158200,157900,157200,156800,157300,158800,160400,161900,163200,164100,164800,165300,165700,166500,168300,170200,171500,171900,172300,172700,173500,174000,174300,174700,175600,176100,176300,176900,177700,178200,178600,179200,179700,179800,179700
15068,New Kensington,PA,Pittsburgh,Westmoreland,63500,64400,64900,65000,65100,65500,65900,66200,66200,66300,66600,67100,67200,67100,67000,67300,67800,67900,67600,67400,67100,67000,67100,67000,66500,65800,65100,64600,64600,64800,65200,65800,66600,67000,67200,67400,67500,67600,68000,68400,68300,68200,68100,67900,67900,67800,67800,68200,68800,69100,69000,69000,68900,68900,69100,69400,69900,70300,70600,70400,70500,71700,73400,74100,74100,74100,73900,73400,73200,73400,74000,74900,75600,75800,75700,75700,75800,75900,76100,76600,76800,76700,76700,76900,77200,77400,77600,78400,79400,80400,81400,82100,82300,82500,82500,82100,81900,81800,81800,82000,82300,82600,82900,83400,84700,86000,86900,87300,87600,87700,87700,87800,88100,88500,88300,87800,87300,87300,87500,87700,87400,86800,86600,86500,86700,87400,88400,88900,88600,88300,88800,89800,90400,90800,90900,90500,89700,88800,88100,88000,88000,87800,87200,86700,86500,86600,87100,88400,89100,88800,88400,88700,89500,89800,89700,89300,89100,89100,88700,87900,87600,88200,88500,88300,88000,87800,87500,87600,88100,88700,89200,89600,89500,89200,89100,88900,88400,87800,87600,87800,87700,87300,87100,87200,87300,87300,87300,87300,87600,88000,88300,88200,87900,87600,87700,87700,87500,87400,87100,86600,86500,86700,87100,87500,88000,88200,88200,88400,88700,88700,89200,90000,90700,91400,91700,92100,93600,95300,95700,95500,96000,97000,97900,98600,99400,99800,100200,100100,99400,99200,99500,99600
15235,Penn Hills,PA,Pittsburgh,Allegheny,63100,62400,62100,62000,61700,61500,61700,61600,61300,61200,61200,61300,61600,61600,61600,61900,62400,62700,62700,62800,63100,63500,63800,64100,64000,64100,63900,63600,63600,64100,64600,65100,65400,66000,66200,66200,66100,66200,66300,66300,66200,66400,66400,66400,66600,66800,66800,66900,67300,67900,68000,68100,68300,68500,68700,69200,69500,69700,70000,70400,70900,71500,72500,73100,73500,73500,73400,73300,73300,73400,73500,73800,74200,74500,74500,74500,74700,75000,75400,75700,75900,76000,76100,75900,75900,76200,76700,77400,78000,78300,78500,78600,79000,79100,79100,79500,79800,79900,80000,80200,80400,80600,80700,80700,80700,80900,81500,81800,81600,81500,81600,81900,82200,82300,82400,82800,83100,83500,83900,84300,84400,84600,84700,84800,84800,84900,85000,85000,85100,85100,85100,85000,85000,84600,84100,83700,83800,84000,84100,84100,84200,84100,84000,84200,84700,85100,85000,84400,83800,83600,83300,83000,82900,82500,81800,81400,81100,81000,81000,81100,81100,80800,80900,81400,81500,81500,81500,81400,81200,81100,81000,81000,80800,80600,80500,80500,80500,80500,80800,80700,80200,80100,80300,80400,80300,80200,80000,79800,79300,78900,78600,78500,78200,77800,77300,76700,76200,75800,75300,74800,74800,75200,75600,76100,77000,77600,78300,79100,79700,80200,80900,81400,81600,82200,82600,82600,82800,83400,84200,84900,85700,86600,86800,86600,86300,86100,86100,86200,86000,85600,85400,85400
15317,North Strabane Township,PA,Pittsburgh,Washington,124400,124700,123100,120000,117500,116100,115700,115400,114800,115200,116000,116000,115200,114300,114100,115700,117300,118000,118400,119200,120100,121000,121600,121900,122400,123600,124900,125300,125300,126100,127100,127200,126900,126800,126500,125900,125500,125700,126500,127700,128900,129900,130700,131400,132300,133300,134700,136000,136200,136200,136600,137200,137600,138100,138900,139800,139800,139100,139300,140400,141600,142800,143800,144100,144000,144200,144600,145000,145400,146600,147400,147500,147000,146700,146900,147700,149400,149800,149200,149500,152200,154300,155000,156100,158400,159900,160900,162200,163200,164300,165900,166900,166400,165900,166200,166800,167400,168000,168100,167500,167200,167200,167400,168300,169600,170200,170400,170800,171500,172200,172800,173800,175000,176200,177300,178000,178500,180100,181300,181200,180800,181300,182300,183000,183000,183200,183200,183100,183300,183900,184700,185200,185400,185400,185300,185300,186500,187800,188700,189300,188100,185500,184300,184900,185700,186100,186400,186300,185900,184900,184200,183600,183600,184500,185400,185500,185500,185400,185700,186400,186800,187100,188200,189200,190600,192400,193600,194300,194800,195000,195200,195500,195700,196000,195700,195400,195100,194800,194800,195300,195600,195700,195800,195900,196000,196300,196500,196500,197000,197700,198300,198900,199600,200200,200800,201200,201100,200900,201300,202100,202500,202800,203000,203200,203700,204500,205600,207400,209700,211900,213600,215300,216600,217300,217000,217200,218300,219800,221200,222500,223000,223000,223100,223400,223900,225000,226600,227500,227500,227800,228300,228300
15221,Wilkinsburg,PA,Pittsburgh,Allegheny,52200,52200,52200,52100,52100,52200,52400,52400,52400,52500,52700,52800,53300,53500,53400,53500,54100,54600,54700,54900,55300,55700,56000,56100,56100,56200,56200,56000,55600,55500,55700,55700,55800,56200,56700,56700,56700,56600,56700,56700,56600,56600,56800,57000,57400,57700,57600,57500,57500,57700,58300,58700,58900,59000,59000,59200,59300,59200,59200,59700,60200,60400,60700,61300,61900,62500,63000,63500,63900,64400,65100,65600,65900,66100,66200,66300,66400,66300,66300,66300,66000,65600,65200,65100,65300,65400,65500,66000,66800,67500,67900,68200,68500,68700,69000,69500,70000,70500,70700,70600,70400,70300,70100,69900,69800,69900,70100,70000,69700,69600,69600,69300,69200,69400,69700,70400,71100,71700,72200,72500,72600,72700,73300,74200,74900,75500,76000,76100,76300,76700,77100,77600,78100,78500,78500,78300,77800,77100,76800,76900,76900,76700,76200,75900,76000,76100,76100,76200,76300,76400,76500,76700,76900,76900,76900,76700,76500,76600,76900,77400,77900,78200,78500,78800,78600,78700,79000,79200,79400,79600,79500,79300,79400,79500,79500,79300,79500,80000,80300,80300,80200,80100,79700,78900,77900,76900,76200,75800,75600,75100,74800,74700,74300,74000,73900,73800,73800,74100,74100,73800,73100,72700,72700,72900,73200,73700,74700,75600,75900,76400,77300,77900,78600,79600,80200,80400,81000,81500,81800,82000,82900,83700,83900,83800,83900,84000,84100,84300,84400,84400,84300,84200
